dose_grams,setting,grind,brew_mass_grams,total_dissolved_solids_percent,extraction_percent,ph,brew temperature,score,temp,flavor,acidity,body,tea_floral,fruit,citrus,green_veg,paper_wood,burnt,cereal,nutty,dark_chocolate,caramel,bitter,astringent,roasted,sour,thick_viscous,sweet,rubber
176.1,1SM,5,2829.1,1.05,16.868568,5.05,81.1,6,4,0.1,0.1,0.1,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
145.0,6LG,3,2905.9,0.97,19.439468,5.01,81.0,4,2,0.1,0.1,0.1,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True
119.0,4LG,3,2884.1,0.96,23.26669,5.11,78.6,2,4,0.0,0.0,0.0,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False
215.3,12LG,5,2811.1,1.07,13.970632,5.08,80.4,7,3,0.3,0.4,0.4,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False
176.1,12LG,3,2869.2,1.27,20.69213,5.02,80.8,8,3,0.3,0.3,0.3,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False
150.0,13SM,4,2919.5,1.095,21.31235,5.04,78.0,6,3,0.1,0.1,0.1,False,False,False,False,False,False,False,True,True,False,False,False,True,False,False,False,False
252.7,5LG,5,2747.2,1.52,16.524511,5.04,80.3,8,4,0.4,0.3,0.3,False,False,False,False,False,False,False,True,True,False,False,False,True,False,False,False,False
207.6,5LG,3,2793.7,1.49,20.051123,5.06,80.2,8,4,0.3,0.3,0.3,False,False,False,False,False,False,False,True,True,True,False,False,False,False,False,False,False
176.1,4LG,3,2843.5,1.43,23.090319,4.98,78.7,3,3,0.5,0.5,0.3,False,False,False,False,False,False,False,False,False,False,True,True,False,True,False,False,False
176.1,6LG,5,2862.8,1.0,16.256672,5.06,83.3,7,4,0.3,0.4,0.4,True,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False
145.0,6LG,3,2878.0,1.05,20.84069,5.09,83.3,4,4,0.1,0.4,0.1,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False
121.1,14SM,3,2916.7,0.96,23.12165,5.07,82.7,7,3,0.3,0.1,0.3,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False
215.3,5SM,5,2837.0,1.245,16.405317,5.01,83.3,9,3,0.3,0.3,0.3,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
176.1,12LG,3,2818.0,1.3,20.802954,5.12,82.7,8,3,0.1,0.4,0.4,True,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False
